timestamp,city,trade_date,mean_forecast,current_sigma,tmax_open_meteo,tmax_visual_crossing,tmax_tomorrow,tmax_weatherapi,tmax_google_weather,tmax_openweathermap,tmax_pirateweather,tmax_weather_gov,sources_used,weights_used
2026-01-27T21:00:12.184698-05:00,ny,2026-01-28,21.8054,0.9731,23.4000,22.0000,23.1600,23.5000,21.7400,20.8800,21.1600,23.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3122,open-meteo:0.0057,openweathermap:0.2353,pirateweather:0.1204,tomorrow:0.1051,visual-crossing:0.1222,weather.gov:0.0549,weatherapi:0.0441"
2026-01-27T21:00:15.389832-05:00,il,2026-01-28,15.9970,2.1154,18.3000,16.1000,18.3400,20.8000,14.0000,14.9700,14.9400,17.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0684,open-meteo:0.1046,openweathermap:0.2344,pirateweather:0.1557,tomorrow:0.0826,visual-crossing:0.3209,weather.gov:0.0228,weatherapi:0.0108"
2026-01-27T21:00:15.404788-05:00,il,2026-01-27,12.4490,3.9974,14.4000,13.9000,14.6800,16.2000,9.8600,9.5900,13.5300,3.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0684,open-meteo:0.1046,openweathermap:0.2344,pirateweather:0.1557,tomorrow:0.0826,visual-crossing:0.3209,weather.gov:0.0228,weatherapi:0.0108"
2026-01-27T21:00:18.991837-05:00,tx,2026-01-28,51.4504,3.0233,55.6000,52.1000,53.9800,44.8000,51.0800,53.5600,52.3800,53.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.2826,open-meteo:0.0034,openweathermap:0.0219,pirateweather:0.0225,tomorrow:0.0337,visual-crossing:0.5391,weather.gov:0.0283,weatherapi:0.0685"
2026-01-27T21:00:19.003150-05:00,tx,2026-01-27,45.1945,8.5083,49.5000,49.7000,49.3500,50.4000,37.2200,38.0800,46.9900,25.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.2826,open-meteo:0.0034,openweathermap:0.0219,pirateweather:0.0225,tomorrow:0.0337,visual-crossing:0.5391,weather.gov:0.0283,weatherapi:0.0685"
2026-01-27T21:00:22.455511-05:00,fl,2026-01-28,65.0595,5.5362,56.1000,67.0000,52.1100,61.5000,66.7400,66.5200,66.0600,68.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-27T21:00:22.465476-05:00,fl,2026-01-27,64.1097,6.0112,74.0000,65.9000,65.4400,68.5000,56.8400,57.6700,66.8100,56.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-27T22:00:02.170500-05:00,ny,2026-01-28,21.8054,0.9731,23.4000,22.0000,23.1600,23.5000,21.7400,20.8800,21.1600,23.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3122,open-meteo:0.0057,openweathermap:0.2353,pirateweather:0.1204,tomorrow:0.1051,visual-crossing:0.1222,weather.gov:0.0549,weatherapi:0.0441"
2026-01-27T22:00:02.192861-05:00,il,2026-01-28,15.9970,2.1154,18.3000,16.1000,18.3400,20.8000,14.0000,14.9700,14.9400,17.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0684,open-meteo:0.1046,openweathermap:0.2344,pirateweather:0.1557,tomorrow:0.0826,visual-crossing:0.3209,weather.gov:0.0228,weatherapi:0.0108"
2026-01-27T22:00:02.212324-05:00,tx,2026-01-28,51.4504,3.0233,55.6000,52.1000,53.9800,44.8000,51.0800,53.5600,52.3800,53.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.2826,open-meteo:0.0034,openweathermap:0.0219,pirateweather:0.0225,tomorrow:0.0337,visual-crossing:0.5391,weather.gov:0.0283,weatherapi:0.0685"
2026-01-27T22:00:02.239730-05:00,fl,2026-01-28,65.0595,5.5362,56.1000,67.0000,52.1100,61.5000,66.7400,66.5200,66.0600,68.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.0928,open-meteo:0.0023,openweathermap:0.1406,pirateweather:0.1432,tomorrow:0.0484,visual-crossing:0.3493,weather.gov:0.0399,weatherapi:0.1834"
2026-01-28T07:00:14.860300-05:00,ny,2026-01-28,21.9905,1.0560,,22.0000,23.2700,23.5000,21.9200,20.4300,21.1600,23.0000,"google-weather,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.3615,openweathermap:0.1528,pirateweather:0.0898,tomorrow:0.1353,visual-crossing:0.1344,weather.gov:0.0527,weatherapi:0.0735"
2026-01-28T07:00:32.568770-05:00,il,2026-01-28,16.1873,2.5248,18.1000,16.1000,18.2100,22.8000,14.3600,15.7100,14.9400,16.0000,"google-weather,open-meteo,openweathermap,pirateweather,tomorrow,visual-crossing,weather.gov,weatherapi","google-weather:0.1390,open-meteo:0.0311,openweathermap:0.1742,pirateweather:0.0802,tomorrow:0.1392,visual-crossing:0.3929,weather.gov:0.0230,weatherapi:0.0204"
