timestamp,city,stid,temp,trend_10m,trend_30m,trend_1h,acceleration
2026-01-29T16:35:00+00:00,tx,KAUS,55.4,4.32,6.2825,11.2501,-1.9625
2026-01-29T16:40:00+00:00,fl,KMIA,66.2,0.0,4.3144,3.5058,-4.3144
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:45:00+00:00,il,KMDW,12.2,6.48,3.4175,3.587,3.0625
2026-01-29T16:45:00+00:00,tx,KAUS,57.2,4.32,4.6714,10.4071,-0.3514
2026-01-29T16:40:00+00:00,fl,KMIA,66.2,0.0,4.3144,3.5058,-4.3144
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:45:00+00:00,il,KMDW,12.2,6.48,3.4175,3.587,3.0625
2026-01-29T16:45:00+00:00,tx,KAUS,57.2,4.32,4.6714,10.4071,-0.3514
2026-01-29T16:40:00+00:00,fl,KMIA,66.2,0.0,4.3144,3.5058,-4.3144
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:45:00+00:00,il,KMDW,12.2,6.48,3.4175,3.587,3.0625
2026-01-29T16:45:00+00:00,tx,KAUS,57.2,4.32,4.6714,10.4071,-0.3514
2026-01-29T16:40:00+00:00,fl,KMIA,66.2,0.0,4.3144,3.5058,-4.3144
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:50:00+00:00,il,KMDW,12.2,6.48,3.5138,3.5423,2.9662
2026-01-29T17:00:00+00:00,tx,KAUS,57.2,5.0758,4.541,8.3588,0.5348
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:50:00+00:00,il,KMDW,12.2,6.48,3.5138,3.5423,2.9662
2026-01-29T16:45:00+00:00,tx,KAUS,57.2,4.32,4.6714,10.4071,-0.3514
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:50:00+00:00,il,KMDW,12.2,6.48,3.5138,3.5423,2.9662
2026-01-29T17:00:00+00:00,tx,KAUS,57.2,5.0758,4.541,8.3588,0.5348
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
